Bill # + LINK ,Title ,Sponsors ,Description ,Status 
HB 29,Energy Efficient Vehicle Tax Credit Amendments,"Rep. Stephen G. Handy, R
Sen. Curtis S. Bramble, R ","Extends the tax credit for electric vehicles and plug-in hybrids to 2021, retroactively. Allows the credit to be given to the consumer at time of purchase. Phases out the incentive between 2017 and 2022. ",Didn't pass 
HB 33,Mercury Switch Removal Act,"Rep. Lee B. Perry, R
Sen. Margaret Dayton, R",Program to remove mercury switches when a vehicle is scrapped is extended 10 years. ,Passed
HB 37,State Construction Code Amendments,"Rep. Mike Schultz, R
Sen. Curtis S. Bramble, R ",Corrects misnomers in Ultra Low NOx Water Heater rule. Follows the recommendations of the Uniform Building Code Commission for radon mitigation.,Passed
HB 96,Petroleum Vapor Recovery Amendments,"Rep. Steve Eliason, R
Sen. Curtis S. Bramble, R","Building upon a bill that failed in 2016, increases penalties for drivers of petroleum tankers failing to utilize vapor recovery equipment when filling. Petroleum vapor is toxic and contributes to air pollution. This bill serves as a better deterrent for drivers who intentionally fail to use the recovery equipment. ",Passed
HB 104,Motor Vehicle Amendments,"Rep. Logan Wilde, R
Sen. Allen M. Christiansen, R","Allows a local county that imposes a local emissions-compliance fee and use revenues generated from the fee to promote programs to maintain national ambient air quality standards (NAAQS). Local governments charge a compliance fee, paid at vehicle registration ($1-$3) to establish air quality and emissions programs. This bill allows local governments to create additional programs with this compliance fee and increase the fee at their discretion to enhance air quality within their community as long as it is used to promote programs that are aimed to maintain the NAAQS. ",Passed
HB 134,Emissions Testing Amendments,"Rep. Patrice M. Arent, D
Sen. Curtis S. Bramble, R","Restricts the authority of a county to exempt a motor vehicle from an emissions test. Requires any county with a current emissions testing program to test diesels under 14,000 pounds. Passed eventually in 2018.",Didn't pass 
HB 183,Emission Settlement Amendments,"Rep. Hawkes, R-Centerville; Sen. Shiozawa, R-Cottonwood Heights",Creates a fund to receive Volkswagon settlement money and gives Department of Environmental Quality authority to distribute. ,Passed
HB 392,Air Quality Policy Advisory Board,"Rep Timothy D. Hawkes, R
Sen. Todd Weiler, R ","Creates the Air Quality Policy Advisory Board. The board will be comprised of 10 voting members: two Senators appointed by the Senate President, three Representatives appointed by the Speaker of the House, the Executive Director, one representative from business (non-industry), one representative from industry, one representative from the academic community, and one NGO not representing industry or business. The role of the board will be to a) seek the best available science to identify ways to improve air quality; b) identify and prioritize potential legislation and funding that will improve air quality; and c) make recommendations to the Legislature on how to improve air quality in the state. Requests $38,000 per year  for 2018 and 2019.",Passed
HB 405,Hydrogen Fuel Production Incentives,"Rep. Douglas V. Sagers, R
Sen. Curtis S. Bramble, R","Allows for funding of a hydrogen fuel plant or a plant for the production of zero emission hydrogen fueled trucks. Provides a tax credit for producers of hydrogen fuel or zero emission hydrogen fueled trucks. Could reduce severance tax revenue up to $5,000,000 per eligible taxpayer beginning in 2019.",Passed
HB 454,Non-Attainment Area Pollution Reduction Amendments,"Rep. Steve Eliason, R","$100,000 to provide funding for grants to low-income individuals to fix or replace vehicles that do not pass emissions inspections.",Didn't pass 
